"Temps"	"Teau"	"Tis"	"Tamb"	"Tcr"
"100"	100	25.7064571	25.3210392	24.891943	26.3512783
"200"	200	25.7302475	25.4196148	24.4997101	26.3479042
"300"	300	25.7302876	25.4118137	24.7164879	26.392992
"400"	400	25.7257099	25.4832039	24.8579369	26.4693642
"500"	500	25.7078133	25.5739155	24.6711807	26.4520149
"600"	600	25.7401085	25.5785923	24.5431747	26.4818478
"700"	700	25.7424374	25.492075	24.556839	26.4684868
"800"	800	25.7723923	25.6108418	25.296875	26.5987892
"900"	900	25.7749901	25.6169758	24.5739002	26.6063824
"1000"	1000	25.8160477	25.6550484	24.6683311	26.664587
"1100"	1100	25.8526669	25.7554417	24.8135738	26.6959896
"1200"	1200	25.8686008	25.7818623	24.9662895	26.7375126
"1300"	1300	25.889801	25.8267746	24.8858242	26.7464905
"1400"	1400	25.9185524	25.8493996	25.1512032	26.7882977
"1500"	1500	25.9771366	25.9610825	25.1276684	26.8439674
"1600"	1600	26.0017319	25.9319878	24.8527775	26.8398361
"1700"	1700	26.0525436	25.963459	25.0681419	26.8819122
"1800"	1800	26.090992	26.0902119	25.1160069	26.9268169
"1900"	1900	26.2077694	26.1974068	25.0522327	26.9815426
"2000"	2000	26.2639256	26.1467438	24.7806072	26.9986458
"2100"	2100	26.3067589	26.2271824	25.2983017	27.0644436
"2200"	2200	26.3730164	26.2274551	24.9998569	27.0897121
"2300"	2300	26.428894	26.2756157	25.0131149	27.1565075
"2400"	2400	26.4692154	26.403286	25.1621399	27.2159843
"2500"	2500	26.5192947	26.3565369	25.3245125	27.2721748
"2600"	2600	26.5671501	26.4146004	25.3978786	27.2859402
"2700"	2700	26.6357212	26.33605	25.1687164	27.3358879
"2800"	2800	26.6781731	26.3872185	25.0750771	27.3409176
"2900"	2900	26.7326775	26.3656216	25.1380329	27.401268
"3000"	3000	26.789156	26.5171242	25.5871964	27.5054188
"3100"	3100	26.8150597	26.5512581	25.649847	27.5340729
"3200"	3200	26.8833904	26.5721912	25.34972	27.6057167
"3300"	3300	26.9112453	26.6612701	25.4428673	27.6385822
"3400"	3400	26.9743614	26.5096416	25.1619015	27.6326904
"3500"	3500	27.0000286	26.6174603	25.2414761	27.7007523
"3600"	3600	27.0635433	26.6671848	25.3647728	27.7413406
"3700"	3700	27.1070156	26.7226143	25.6132965	27.7903442
"3800"	3800	27.1485424	26.7290363	25.2036705	27.8206692
"3900"	3900	27.2041931	26.6897449	25.4235687	27.8501606
"4000"	4000	27.2402096	26.6561241	25.3501568	27.8775501
"4100"	4100	27.3167248	26.6806488	25.3943901	27.9615574
"4200"	4200	27.3808956	26.6790676	25.3397217	27.9811401
"4300"	4300	27.3825073	26.6768742	25.3431816	27.9881458
"4400"	4400	27.4230518	26.7992325	25.597744	28.0834217
"4500"	4500	27.4752846	26.9280319	25.3634529	28.1336479
"4600"	4600	27.5109634	26.7335033	25.4432106	28.0708122
"4700"	4700	27.5680981	26.8636646	25.7211666	28.176466
