"Temps"	"Teau"	"Tis"	"Tamb"	"Tcr"
"1000"	1000	27.0237942	28.4022541	26.7246971	27.9868412
"2000"	2000	27.7208061	28.6856709	26.4823494	28.5982723
"3000"	3000	28.2959328	28.9921227	26.9221783	29.16078
"4000"	4000	28.9600334	30.2806358	28.8958645	30.6991673
"5000"	5000	30.1016483	32.6632957	30.2146549	32.2482643
"6000"	6000	31.761076	33.5486259	31.011879	33.9685173
"7000"	7000	32.6790352	34.3862762	31.9491863	34.5820122
"8000"	8000	34.0020905	34.882019	29.5453892	35.4197617
"9000"	9000	35.1983871	36.3226357	28.7536602	37.2489777
"10000"	10000	36.6556969	37.1239777	30.0195351	38.8623428
"11000"	11000	37.9022217	36.8891754	29.3147068	40.04953
"12000"	12000	39.1340141	37.7084427	28.8405609	41.5226097
"13000"	13000	40.3371468	38.6743774	29.2107143	42.9559937
"14000"	14000	41.2234917	38.6824265	29.0386124	42.7527161
"15000"	15000	42.1526756	39.0554466	28.838728	43.6016464
"16000"	16000	42.8029213	38.3165283	29.1334362	44.0674438
"17000"	17000	43.5008545	38.6131248	28.8103237	44.7998581
"18000"	18000	44.2487755	39.5963058	29.3443012	45.1679153
"19000"	19000	44.8096542	40.0458031	29.420084	45.8060303
"20000"	20000	45.4370537	40.5304756	29.0339394	46.7823181
"21000"	21000	46.024826	40.3397942	29.4521275	47.3572083
"22000"	22000	46.5057144	40.753891	29.214592	47.736927
"23000"	23000	46.9958267	41.1794014	30.6808929	48.1409874
"24000"	24000	47.3265266	40.5353889	30.6801281	47.8216743
"25000"	25000	47.5385704	41.1518974	30.326498	48.2612267
"26000"	26000	47.7054749	40.8539696	30.4751396	48.09272
"27000"	27000	47.5019798	40.8307686	30.0099812	48.0536728
"28000"	28000	47.5908012	41.3020172	30.2030754	48.084362
