temps,interieur_recipient,interieur_serre,ambiance,contre_recipient
1,26.6549683,27.8424473,26.2117214,27.7582588
2,26.6876373,27.8388958,26.2263412,27.7531967
3,26.7016068,27.8340855,26.2560825,27.7540913
4,26.7199993,27.8432293,26.2742596,27.7592926
5,26.7060871,27.8409653,26.2635326,27.7683258
6,26.7212029,27.8508358,26.260088,27.7634602
7,26.7088013,27.8595333,26.2390842,27.7621174
8,26.7082424,27.867363,26.1922283,27.7688847
9,26.6797161,27.8612938,26.1662922,27.7712898
10,26.6874695,27.8737106,26.1508865,27.7740307
11,26.6757126,27.8871059,26.1796532,27.7655849
12,26.673893,27.8779335,26.1978302,27.7715702
13,26.6709538,27.8859024,26.1749458,27.7780876
14,26.6643467,27.8938999,26.1680012,27.7676277
15,26.6617985,27.8926697,26.1746101,27.7816105
16,26.6682377,27.906456,26.1956444,27.7705364
17,26.6647949,27.9111538,26.2269001,27.7708988
18,26.6698055,27.9012547,26.224493,27.7803802
19,26.672184,27.9064827,26.2279644,27.7775002
20,26.6667824,27.9164944,26.249754,27.7746754
21,26.6684608,27.919178,26.2504539,27.7853584
22,26.6779518,27.9387245,26.2724113,27.7735004
23,26.6850624,27.9321804,26.3204956,27.7792606
24,26.6960926,27.9439812,26.3494797,27.7742271
25,26.6884499,27.9371853,26.4022083,27.7826729
26,26.6955891,27.9467773,26.4363708,27.781414
27,26.696064,27.9416599,26.4656315,27.7649708
28,26.6966801,27.9492092,26.4741173,27.7767162
29,26.7053585,27.9342785,26.4325352,27.773613
30,26.695673,27.9545231,26.3931637,27.7820301
31,26.6852016,27.9551926,26.3715744,27.769249
32,26.6825714,27.9561157,26.3791351,27.7700043
33,26.6732769,27.9534588,26.3769512,27.7559643
34,26.6623859,27.9508877,26.3710136,27.7680473
35,26.6539326,27.9548016,26.3832512,27.7602711
36,26.6531754,27.926672,26.3511314,27.7531147
37,26.6475086,27.9411964,26.3613586,27.7627068
38,26.6324196,27.943573,26.3654461,27.7626514
39,26.6174679,27.9501457,26.3670998,27.7700615
40,26.610218,27.9421482,26.382864,27.7600498
41,26.5972557,27.9539757,26.3936729,27.7538414
42,26.5919628,27.9488029,26.404007,27.746933
43,26.573904,27.9614124,26.4132748,27.7396336
