Temps,Teau,Tis,Tamb,Tcr
1,26.4639339,27.8340855,25.4803028,27.5781536
2,26.4682732,27.8388958,25.4940643,27.5832882
3,26.4732571,27.8409653,25.4974003,27.5837212
4,26.4758339,27.8424473,25.5034809,27.5837917
5,26.4764767,27.8432293,25.5062561,27.5846729
6,26.4768963,27.8508358,25.5081615,27.5849495
7,26.478157,27.8595333,25.5134296,27.5849667
8,26.4784088,27.8612938,25.5156708,27.5861549
9,26.4794445,27.867363,25.5280037,27.5868263
10,26.4811249,27.8737106,25.5285625,27.587944
11,26.4811821,27.8779335,25.5304127,27.5879879
12,26.48209,27.8859024,25.5324574,27.5880146
13,26.4822102,27.8870068,25.5428543,27.5884171
14,26.4835052,27.8871059,25.5485458,27.589035
15,26.4835892,27.889185,25.5664978,27.5898743
16,26.4843941,27.8918476,25.5690708,27.5905762
17,26.4846382,27.8923779,25.5732059,27.5917625
18,26.4857445,27.8926697,25.585947,27.5919037
19,26.4878387,27.8938999,25.5923061,27.5920277
20,26.488203,27.8942757,25.5937366,27.5922241
21,26.4888535,27.8995094,25.6013584,27.5923939
22,26.4896011,27.9008236,25.612175,27.5932617
23,26.4904709,27.9010754,25.6257,27.5940151
24,26.4908352,27.9012547,25.628933,27.5945168
25,26.4911423,27.9062424,25.6310749,27.5951214
26,26.4915066,27.906456,25.6330757,27.5958023
27,26.4918213,27.9064827,25.6358833,27.5991306
28,26.4918709,27.907753,25.6367416,27.6010323
29,26.4928226,27.9111538,25.6406364,27.6018715
30,26.4930744,27.9158115,25.6494236,27.6023178
31,26.4939156,27.9164944,25.6726933,27.6036053
32,26.4954185,27.9191341,25.6727161,27.603611
33,26.4959087,27.919178,25.6735058,27.6036663
34,26.4960155,27.9198666,25.6743355,27.603775
35,26.4970436,27.9222984,25.6853924,27.604002
36,26.497694,27.9237003,25.7037296,27.6045284
37,26.4991779,27.9243431,25.7041607,27.6046677
38,26.4994793,27.926672,25.7046871,27.6062775
39,26.5001183,27.9284515,25.7091656,27.6072407
40,26.5010605,27.932024,25.7103806,27.6073017
41,26.5024548,27.9321804,25.7110138,27.607626
42,26.5029316,27.9328403,25.7197399,27.608633
43,26.5030022,27.9342785,25.7227554,27.6092548
44,26.5036736,27.9351921,25.7257366,27.6104298
45,26.5038414,27.9352684,25.7267342,27.6104527
46,26.5044632,27.9360027,25.7274342,27.6107712
47,26.5052147,27.9371853,25.7277718,27.6111794
48,26.5052986,27.9373455,25.7278099,27.611208
49,26.5073414,27.9376736,25.7285709,27.6114655
50,26.5087147,27.9381218,25.7293396,27.6119556
51,26.5089664,27.9387245,25.7296772,27.61199
52,26.5107307,27.9390926,25.7314301,27.6120186
53,26.5114632,27.9411964,25.7339802,27.6121578
54,26.5133629,27.9416599,25.735218,27.6123543
55,26.5138664,27.9421482,25.7393074,27.6129093
56,26.5161896,27.943573,25.7407055,27.6129684
57,26.5167828,27.9437332,25.7413044,27.613081
58,26.5173931,27.9439812,25.7430077,27.6132832
59,26.5175343,27.9446125,25.7431698,27.6137829
60,26.5199699,27.9449482,25.7433987,27.6138649
61,26.5205059,27.945591,25.7438812,27.6140251
62,26.5213985,27.9462624,25.744173,27.6140251
63,26.5249577,27.9465866,25.7451038,27.6140347
64,26.5261021,27.9467773,25.7476807,27.6142902
65,26.5261631,27.9467888,25.7500114,27.6149826
66,26.5281506,27.9481106,25.7520809,27.6150455
67,26.5282326,27.9488029,25.7530365,27.6152191
68,26.5351772,27.9492092,25.7536812,27.6154022
69,26.5372009,27.9494457,25.7550335,27.615469
70,26.5372486,27.9501457,25.7555275,27.6159725
71,26.5398788,27.9508877,25.7557621,27.616188
72,26.5398865,27.9510441,25.7563648,27.6162167
73,26.5404701,27.9513187,25.757431,27.6163597
74,26.5409451,27.952013,25.7578468,27.616375
75,26.5409451,27.9523029,25.7595615,27.6164856
76,26.5411949,27.9525814,25.7616119,27.6166401
77,26.5414467,27.9534588,25.7636776,27.6169624
78,26.5426788,27.9539757,25.7698421,27.6171856
79,26.5431557,27.9545231,25.7712498,27.6174088
80,26.5432968,27.9548016,25.7713871,27.6178856
81,26.5455914,27.9551926,25.7714958,27.6181469
82,26.5462914,27.9561157,25.7741852,27.6186295
83,26.547699,27.9564114,25.7751732,27.618639
84,26.5500717,27.9567719,25.7760696,27.6186905
85,26.5513878,27.9597836,25.7762833,27.6188164
86,26.5521431,27.9599934,25.7769032,27.6190205
87,26.5528984,27.9614124,25.7774048,27.6191063
88,26.5531025,27.9616718,25.7779465,27.6194115
89,26.5531578,27.962286,25.7788639,27.6195526
90,26.5532074,27.9632549,25.7812424,27.6197071
91,26.5545235,27.963419,25.7818146,27.6197128
92,26.5552311,27.9637127,25.7822056,27.6197662
93,26.5558739,27.9638176,25.7844086,27.6197968
94,26.5564575,27.9639091,25.7846222,27.6199627
95,26.5608501,27.9646072,25.7848911,27.6203403
96,26.562418,27.9657249,25.7857304,27.6204491
